price,bed,bath,acre_lot,zip_code,house_size
175000.0,3.0,1.0,60.0,12022.0,1176.0
425000.0,3.0,2.0,2.02,12521.0,1600.0
225000.0,4.0,2.0,0.24,12521.0,1239.0
419000.0,3.0,3.0,1.9,12516.0,1800.0
365000.0,3.0,2.0,2.0,12517.0,1482.0
299999.0,4.0,1.0,4.2,12516.0,1500.0
374900.0,3.0,2.0,2.9,12529.0,1404.0
375000.0,3.0,2.0,1.2,12546.0,1350.0
365000.0,5.0,4.0,2.0,12517.0,1482.0
949000.0,5.0,4.0,100.88,12017.0,7500.0
489900.0,3.0,2.0,10.0,12017.0,1152.0
194900.0,4.0,3.0,1.29,12123.0,2274.0
40000.0,2.0,1.0,0.2,12123.0,690.0
125000.0,3.0,2.0,1.0,12090.0,980.0
435000.0,3.0,2.0,5.01,12060.0,2504.0
429900.0,4.0,3.0,2.15,12184.0,2248.0
299900.0,3.0,1.0,0.32,12130.0,1608.0
649000.0,4.0,4.0,12.8,12106.0,1980.0
379500.0,4.0,3.0,0.28,12565.0,2080.0
299900.0,3.0,1.0,0.32,12106.0,1608.0
61900.0,3.0,2.0,0.2,12090.0,1344.0
759000.0,3.0,1.0,73.0,12513.0,1800.0
759000.0,3.0,1.0,73.04,12513.0,1800.0
123000.0,3.0,1.0,1.45,12168.0,1386.0
92500.0,3.0,2.0,1.0,12028.0,1056.0
2100000.0,2.0,1.0,274.0,12125.0,2600.0
849000.0,7.0,7.0,1.1,12017.0,7000.0
439000.0,3.0,2.0,1.85,12517.0,1657.0
279000.0,6.0,4.0,0.77,12029.0,5082.0
245000.0,3.0,2.0,0.49,12958.0,1302.0
279000.0,6.0,5.0,0.7,12029.0,5082.0
299900.0,4.0,2.0,11.22,12029.0,1931.0
190000.0,1.0,1.0,0.5,12529.0,418.0
245000.0,3.0,2.0,0.49,12017.0,1302.0
329000.0,4.0,2.0,6.9,12529.0,1900.0
790000.0,3.0,2.0,4.25,12517.0,1512.0
625000.0,2.0,2.0,1.5,12017.0,1834.0
3500000.0,4.0,4.0,217.0,12017.0,4000.0
289000.0,3.0,3.0,2.34,12029.0,2000.0
339000.0,4.0,5.0,0.51,12125.0,3133.0
625000.0,4.0,2.0,5.2,12517.0,2029.0
369900.0,3.0,2.0,0.65,12029.0,1600.0
1575000.0,4.0,5.0,18.5,12529.0,3024.0
595000.0,9.0,6.0,1.2,12517.0,5512.0
598500.0,3.0,3.0,4.0,12516.0,2240.0
105000.0,4.0,2.0,22.52,12123.0,1795.0
159000.0,3.0,1.0,0.38,12546.0,1656.0
120000.0,2.0,2.0,17.5,12094.0,1431.0
254900.0,2.0,1.0,0.29,12153.0,1163.0
339900.0,8.0,6.0,1.35,12168.0,2722.0
1300000.0,4.0,4.0,37.0,12062.0,4000.0
910000.0,3.0,3.0,288.92,12057.0,7834.0
49900.0,2.0,1.0,0.13,12123.0,1200.0
295000.0,10.0,5.0,1.0,12123.0,5100.0
698000.0,3.0,2.0,5.03,12075.0,1735.0
277000.0,4.0,3.0,0.33,12037.0,2250.0
199000.0,5.0,2.0,1.5,12125.0,2360.0
159900.0,3.0,2.0,0.23,12090.0,2400.0
144900.0,2.0,1.0,1.1,12057.0,2780.0
215000.0,4.0,3.0,1.0,12125.0,2148.0
1999500.0,5.0,5.0,45.8,12060.0,6518.0
495000.0,4.0,2.0,37.5,12503.0,1767.0
495000.0,5.0,2.0,45.0,12503.0,2263.0
49000.0,3.0,1.0,0.39,12090.0,1161.0
270000.0,2.0,2.0,6.69,12169.0,1000.0
299000.0,3.0,2.0,1.1,12075.0,1748.0
640000.0,5.0,4.0,7.08,12184.0,1968.0
899000.0,3.0,2.0,1.9,12018.0,5254.0
899000.0,11.0,6.0,1.9,12018.0,5254.0
799000.0,4.0,2.0,100.0,12123.0,2976.0
450000.0,2.0,1.0,0.38,12060.0,1200.0
1300000.0,5.0,4.0,37.0,12062.0,4000.0
325000.0,5.0,2.0,10.0,12123.0,2673.0
169000.0,3.0,1.0,0.14,12184.0,2313.0
265000.0,3.0,2.0,0.53,12125.0,2250.0
122750.0,4.0,2.0,0.13,12090.0,1978.0
925000.0,7.0,4.0,2.9,12516.0,3416.0
650000.0,4.0,3.0,7.94,12082.0,3088.0
164900.0,3.0,1.0,1.0,12169.0,1845.0
479000.0,3.0,3.0,1.87,12018.0,4622.0
378000.0,5.0,3.0,0.82,12125.0,3075.0
675000.0,3.0,3.0,2.5,12018.0,3600.0
1400000.0,9.0,6.0,1.4,12565.0,6157.0
1295000.0,5.0,5.0,5.58,12125.0,5212.0
1495000.0,3.0,3.0,24.06,12502.0,3228.0
2100000.0,4.0,4.0,1.56,12521.0,3100.0
495000.0,3.0,2.0,40.0,12138.0,4034.0
189900.0,4.0,1.0,4.79,12061.0,1607.0
109000.0,4.0,3.0,0.05,12090.0,1890.0
129900.0,2.0,2.0,0.1,12090.0,1120.0
312000.0,4.0,2.0,0.45,12075.0,4520.0
424000.0,3.0,2.0,48.96,12168.0,1585.0
325000.0,6.0,3.0,10.0,12123.0,3973.0
495000.0,3.0,2.0,0.21,12529.0,1167.0
149900.0,3.0,2.0,0.23,12018.0,2694.0
239900.0,4.0,2.0,2.03,12168.0,3050.0
245000.0,3.0,2.0,0.39,12123.0,1400.0
325000.0,12.0,8.0,1.0,12123.0,2130.0
590000.0,3.0,3.0,7.54,12529.0,2450.0
450000.0,9.0,6.0,0.5,12060.0,7022.0
150000.0,2.0,2.0,0.45,12180.0,1550.0
340000.0,5.0,3.0,0.52,12521.0,2400.0
205000.0,3.0,2.0,0.36,12018.0,1592.0
290000.0,3.0,2.0,0.24,12075.0,1713.0
265000.0,4.0,2.0,0.6,12138.0,1950.0
299000.0,3.0,3.0,3.0,12546.0,1768.0
350000.0,5.0,3.0,1.5,12405.0,2136.0
2850000.0,40.0,36.0,1.78,12565.0,27443.0
349900.0,3.0,3.0,19.1,12168.0,2864.0
280000.0,5.0,4.0,2.0,12184.0,2000.0
650000.0,4.0,2.0,14.61,12090.0,3860.0
549000.0,4.0,3.0,2.1,12018.0,5127.0
229900.0,2.0,1.0,2.39,12513.0,720.0
250000.0,2.0,2.0,65.0,12180.0,1473.0
350000.0,3.0,3.0,0.15,12546.0,1802.0
215000.0,2.0,1.0,0.25,12565.0,806.0
749000.0,4.0,4.0,3.0,12075.0,4179.0
105000.0,5.0,3.0,1.14,12168.0,3092.0
225700.0,3.0,2.0,0.81,12513.0,2104.0
325000.0,4.0,3.0,1.24,12075.0,2464.0
195000.0,2.0,1.0,1.7,12090.0,1010.0
399900.0,5.0,2.0,4.3,12165.0,2499.0
349900.0,3.0,2.0,1.25,12196.0,2000.0
425000.0,3.0,4.0,0.91,12075.0,2120.0
369000.0,1.0,1.0,14.62,12502.0,880.0
1200000.0,5.0,2.0,103.0,12075.0,2657.0
365000.0,3.0,2.0,1.0,12546.0,2710.0
325000.0,4.0,3.0,1.9,12521.0,1704.0
189000.0,2.0,1.0,0.21,12018.0,928.0
239900.0,3.0,2.0,0.25,12037.0,1412.0
548000.0,3.0,2.0,2.9,12062.0,2780.0
399000.0,3.0,2.0,3.79,12521.0,1560.0
129000.0,3.0,1.0,0.14,12090.0,2926.0
160000.0,2.0,2.0,0.22,12546.0,576.0
395000.0,3.0,2.0,5.0,12136.0,2042.0
514900.0,4.0,3.0,20.81,12090.0,3900.0
229500.0,2.0,2.0,2.3,12123.0,980.0
225000.0,2.0,1.0,0.06,12184.0,800.0
495000.0,3.0,2.0,0.18,12516.0,1080.0
143900.0,8.0,4.0,0.11,12090.0,5342.0
143900.0,10.0,4.0,0.11,12090.0,3762.0
220000.0,3.0,2.0,1.57,12123.0,1831.0
350000.0,3.0,2.0,18.7,12184.0,1102.0
117900.0,2.0,1.0,0.2,12138.0,1054.0
275000.0,5.0,3.0,0.41,12546.0,1740.0
589900.0,3.0,2.0,0.33,12018.0,1271.0
1395000.0,4.0,3.0,96.38,12513.0,2899.0
725000.0,3.0,4.0,5.38,12125.0,2599.0
1225000.0,4.0,3.0,22.04,12060.0,2508.0
649000.0,3.0,2.0,0.79,12037.0,1512.0
1395000.0,4.0,3.0,96.0,12521.0,2899.0
398715.0,3.0,2.0,0.25,12018.0,1602.0
259000.0,3.0,4.0,4.04,12125.0,2574.0
80000.0,2.0,1.0,0.52,12125.0,700.0
469900.0,4.0,3.0,2.01,12018.0,3984.0
419000.0,4.0,3.0,0.98,12130.0,2442.0
265000.0,4.0,2.0,0.69,12516.0,1800.0
775000.0,4.0,2.0,13.03,12132.0,2491.0
478900.0,4.0,3.0,4.01,12018.0,2321.0
895000.0,9.0,5.0,0.19,12565.0,10000.0
142000.0,2.0,1.0,1.48,12090.0,1080.0
245000.0,4.0,2.0,1.0,12184.0,1596.0
220000.0,2.0,1.0,1.4,12546.0,800.0
549000.0,3.0,2.0,0.25,12534.0,1890.0
264900.0,3.0,2.0,4.25,12018.0,1080.0
139900.0,4.0,1.0,0.12,12018.0,2288.0
439900.0,3.0,2.0,0.56,12196.0,3200.0
899000.0,6.0,5.0,5.0,12018.0,4100.0
2550000.0,5.0,4.0,56.1,12075.0,4960.0
497500.0,3.0,1.0,17.32,12521.0,1400.0
220000.0,3.0,2.0,1.94,12125.0,2824.0
189000.0,3.0,1.0,0.59,12062.0,1360.0
80000.0,4.0,3.0,1.0,12018.0,2367.0
234800.0,4.0,1.0,1.24,12140.0,1232.0
279900.0,3.0,3.0,0.37,12018.0,2073.0
2400000.0,4.0,4.0,100.94,12125.0,3648.0
325000.0,4.0,2.0,0.44,12075.0,2240.0
325000.0,4.0,2.0,0.44,12037.0,2240.0
995000.0,3.0,3.0,0.09,12521.0,1320.0
99900.0,3.0,1.0,0.24,12125.0,1872.0
179000.0,2.0,2.0,0.17,12052.0,1469.0
219000.0,3.0,2.0,8.58,12037.0,1352.0
199000.0,3.0,2.0,0.24,12090.0,1800.0
199000.0,3.0,2.0,0.99,12090.0,2056.0
449900.0,3.0,2.0,8.96,12140.0,2777.0
450000.0,4.0,3.0,6.1,12168.0,2350.0
549000.0,3.0,3.0,3.4,12037.0,2669.0
700000.0,4.0,2.0,99.0,12123.0,2368.0
629000.0,3.0,3.0,1.5,12184.0,2126.0
625000.0,4.0,2.0,5.2,12516.0,2029.0
3650000.0,7.0,4.0,101.0,12136.0,5188.0
1800000.0,2.0,1.0,358.0,12521.0,1675.0
149900.0,3.0,1.0,0.36,12123.0,1218.0
215000.0,2.0,1.0,2.67,12090.0,1216.0
389000.0,3.0,3.0,0.37,12184.0,1880.0
399950.0,4.0,2.0,0.79,12037.0,1410.0
1675000.0,4.0,4.0,54.8,12503.0,2400.0
265000.0,5.0,3.0,0.28,12090.0,2619.0
274900.0,6.0,2.0,1.06,12168.0,2966.0
350000.0,3.0,3.0,1.22,12063.0,2400.0
89900.0,3.0,2.0,0.08,12090.0,2099.0
1695000.0,5.0,5.0,5.5,12516.0,3380.0
1695000.0,5.0,5.0,5.5,12516.0,3380.0
712000.0,3.0,2.0,4.02,12075.0,1762.0
712000.0,3.0,2.0,4.02,12075.0,1762.0
1200000.0,3.0,1.0,75.0,12546.0,1600.0
354900.0,3.0,3.0,5.06,12062.0,2224.0
289900.0,4.0,3.0,0.29,12090.0,1920.0
185000.0,2.0,1.0,1.16,12123.0,1556.0
279900.0,3.0,2.0,1.13,12061.0,1984.0
219999.0,2.0,1.0,0.17,12037.0,1030.0
1150000.0,4.0,4.0,18.9,12513.0,4230.0
750000.0,3.0,3.0,4.9,12516.0,1708.0
1200000.0,4.0,4.0,30.0,12037.0,3344.0
675000.0,4.0,1.0,209.0,12062.0,1928.0
345000.0,3.0,2.0,0.32,12037.0,1126.0
100000.0,3.0,2.0,3.49,12018.0,1518.0
349900.0,3.0,2.0,0.61,12018.0,1680.0
350000.0,2.0,2.0,2.54,12089.0,1582.0
875000.0,4.0,5.0,9.17,12018.0,2800.0
1100000.0,4.0,5.0,9.17,12018.0,3773.0
549900.0,3.0,2.0,2.02,12018.0,1787.0
1795000.0,7.0,5.0,9.7,12528.0,4212.0
1850000.0,7.0,5.0,95.23,12125.0,5250.0
1795000.0,7.0,5.0,9.7,12521.0,4212.0
169500.0,3.0,2.0,1.7,12062.0,1160.0
164900.0,3.0,2.0,0.77,12090.0,1456.0
795000.0,2.0,2.0,67.17,12123.0,1800.0
64900.0,3.0,1.0,3.5,12018.0,1226.0
349900.0,3.0,2.0,3.9,12029.0,2100.0
